Date,Team.1,Team.2,FT
4/15/2007,Everton,Charlton,1-Feb
4/15/2007,Wigan,Tottenham,3-Mar
4/17/2007,Arsenal,Man City,1-Mar
4/17/2007,Man United,Sheffield United,Feb-00
4/18/2007,Blackburn,Watford,1-Mar
4/18/2007,Liverpool,Middlesbrough,Feb-00
4/18/2007,West Ham,Chelsea,4-Jan
4/21/2007,Bolton,Reading,3-Jan
4/21/2007,Charlton,Sheffield United,1-Jan
4/21/2007,Fulham,Blackburn,1-Jan
4/21/2007,Liverpool,Wigan,Feb-00
4/21/2007,Man United,Middlesbrough,1-Jan
4/21/2007,Tottenham,Arsenal,2-Feb
4/21/2007,Watford,Man City,1-Jan
4/21/2007,West Ham,Everton,Jan-00
4/22/2007,Aston Villa,Portsmouth,0-0
4/22/2007,Newcastle,Chelsea,0-0
4/28/2007,Blackburn,Charlton,1-Apr
4/28/2007,Chelsea,Bolton,2-Feb
4/28/2007,Everton,Man United,4-Feb
4/28/2007,Man City,Aston Villa,0-2
4/28/2007,Middlesbrough,Tottenham,3-Feb
4/28/2007,Portsmouth,Liverpool,1-Feb
4/28/2007,Sheffield United,Watford,Jan-00
4/28/2007,Wigan,West Ham,0-3
4/29/2007,Arsenal,Fulham,1-Mar
4/30/2007,Reading,Newcastle,Jan-00
5/5/2007,Aston Villa,Sheffield United,Mar-00
5/5/2007,Everton,Portsmouth,Mar-00
5/5/2007,Fulham,Liverpool,Jan-00
5/5/2007,Man City,Man United,0-1
5/5/2007,Newcastle,Blackburn,0-2
5/5/2007,Reading,Watford,0-2
5/5/2007,West Ham,Bolton,1-Mar
5/5/2007,Wigan,Middlesbrough,0-1
5/6/2007,Arsenal,Chelsea,1-Jan
5/7/2007,Charlton,Tottenham,0-2
5/9/2007,Chelsea,Man United,0-0
5/10/2007,Tottenham,Blackburn,1-Jan
5/13/2007,Blackburn,Reading,3-Mar
5/13/2007,Bolton,Aston Villa,2-Feb
5/13/2007,Chelsea,Everton,1-Jan
5/13/2007,Liverpool,Charlton,2-Feb
5/13/2007,Man United,West Ham,0-1
5/13/2007,Middlesbrough,Fulham,1-Mar
5/13/2007,Portsmouth,Arsenal,0-0
5/13/2007,Sheffield United,Wigan,2-Jan
5/13/2007,Tottenham,Man City,1-Feb
5/13/2007,Watford,Newcastle,1-Jan
8/11/2007,Aston Villa,Liverpool,2-Jan
8/11/2007,Bolton,Newcastle,3-Jan
8/11/2007,Derby,Portsmouth,2-Feb
8/11/2007,Everton,Wigan,1-Feb
8/11/2007,Middlesbrough,Blackburn,2-Jan
8/11/2007,Sunderland,Tottenham,Jan-00
8/11/2007,West Ham,Man City,0-2
8/12/2007,Arsenal,Fulham,1-Feb
8/12/2007,Chelsea,Birmingham,2-Mar
8/12/2007,Man United,Reading,0-0
8/14/2007,Tottenham,Everton,3-Jan
8/15/2007,Birmingham,Sunderland,2-Feb
8/15/2007,Fulham,Bolton,1-Feb
8/15/2007,Man City,Derby,Jan-00
8/15/2007,Portsmouth,Man United,1-Jan
8/15/2007,Reading,Chelsea,2-Jan
8/15/2007,Wigan,Middlesbrough,Jan-00
8/18/2007,Birmingham,West Ham,0-1
8/18/2007,Fulham,Middlesbrough,2-Jan
8/18/2007,Newcastle,Aston Villa,0-0
8/18/2007,Portsmouth,Bolton,1-Mar
8/18/2007,Reading,Everton,Jan-00
8/18/2007,Tottenham,Derby,Apr-00
8/18/2007,Wigan,Sunderland,Mar-00
8/19/2007,Blackburn,Arsenal,1-Jan
8/19/2007,Liverpool,Chelsea,1-Jan
8/19/2007,Man City,Man United,Jan-00
8/25/2007,Arsenal,Man City,Jan-00
8/25/2007,Aston Villa,Fulham,1-Feb
8/25/2007,Bolton,Reading,Mar-00
8/25/2007,Chelsea,Portsmouth,Jan-00
8/25/2007,Derby,Birmingham,2-Jan
8/25/2007,Everton,Blackburn,1-Jan
8/25/2007,Sunderland,Liverpool,0-2
8/25/2007,West Ham,Wigan,1-Jan
8/26/2007,Man United,Tottenham,Jan-00
8/26/2007,Middlesbrough,Newcastle,2-Feb
9/1/2007,Bolton,Everton,2-Jan
9/1/2007,Fulham,Tottenham,3-Mar
9/1/2007,Liverpool,Derby,Jun-00
9/1/2007,Man United,Sunderland,Jan-00
9/1/2007,Middlesbrough,Birmingham,Feb-00
9/1/2007,Newcastle,Wigan,Jan-00
9/1/2007,Reading,West Ham,0-3
9/2/2007,Arsenal,Portsmouth,1-Mar
9/2/2007,Aston Villa,Chelsea,Feb-00
9/2/2007,Blackburn,Man City,Jan-00
9/15/2007,Birmingham,Bolton,Jan-00
9/15/2007,Chelsea,Blackburn,0-0
9/15/2007,Everton,Man United,0-1
9/15/2007,Portsmouth,Liverpool,0-0
9/15/2007,Sunderland,Reading,1-Feb
9/15/2007,Tottenham,Arsenal,3-Jan
9/15/2007,West Ham,Middlesbrough,Mar-00
9/15/2007,Wigan,Fulham,1-Jan
9/16/2007,Man City,Aston Villa,Jan-00
9/17/2007,Derby,Newcastle,Jan-00
9/22/2007,Arsenal,Derby,May-00
9/22/2007,Fulham,Man City,3-Mar
9/22/2007,Liverpool,Birmingham,0-0
9/22/2007,Middlesbrough,Sunderland,2-Feb
9/22/2007,Reading,Wigan,1-Feb
9/23/2007,Aston Villa,Everton,Feb-00
9/23/2007,Blackburn,Portsmouth,0-1
9/23/2007,Bolton,Tottenham,1-Jan
9/23/2007,Man United,Chelsea,Feb-00
9/23/2007,Newcastle,West Ham,1-Mar
9/29/2007,Birmingham,Man United,0-1
9/29/2007,Chelsea,Fulham,0-0
9/29/2007,Derby,Bolton,1-Jan
9/29/2007,Man City,Newcastle,1-Mar
9/29/2007,Portsmouth,Reading,4-Jul
9/29/2007,Sunderland,Blackburn,2-Jan
9/29/2007,West Ham,Arsenal,0-1
9/29/2007,Wigan,Liverpool,0-1
9/30/2007,Everton,Middlesbrough,Feb-00
10/1/2007,Tottenham,Aston Villa,4-Apr
10/6/2007,Aston Villa,West Ham,Jan-00
10/6/2007,Man United,Wigan,Apr-00
10/7/2007,Arsenal,Sunderland,2-Mar
10/7/2007,Blackburn,Birmingham,1-Feb
10/7/2007,Bolton,Chelsea,0-1
10/7/2007,Fulham,Portsmouth,0-2
10/7/2007,Liverpool,Tottenham,2-Feb
10/7/2007,Man City,Middlesbrough,1-Mar
10/7/2007,Newcastle,Everton,2-Mar
10/7/2007,Reading,Derby,Jan-00
10/20/2007,Arsenal,Bolton,Feb-00
10/20/2007,Aston Villa,Man United,4-Jan
10/20/2007,Blackburn,Reading,2-Apr
10/20/2007,Everton,Liverpool,2-Jan
10/20/2007,Fulham,Derby,0-0
10/20/2007,Man City,Birmingham,Jan-00
10/20/2007,Middlesbrough,Chelsea,0-2
10/20/2007,Wigan,Portsmouth,0-2
10/21/2007,West Ham,Sunderland,1-Mar
10/22/2007,Newcastle,Tottenham,1-Mar
10/27/2007,Birmingham,Wigan,2-Mar
10/27/2007,Chelsea,Man City,Jun-00
10/27/2007,Man United,Middlesbrough,1-Apr
10/27/2007,Portsmouth,West Ham,0-0
10/27/2007,Reading,Newcastle,1-Feb
10/27/2007,Sunderland,Fulham,1-Jan
10/28/2007,Bolton,Aston Villa,1-Jan
10/28/2007,Derby,Everton,0-2
10/28/2007,Liverpool,Arsenal,1-Jan
10/28/2007,Tottenham,Blackburn,2-Jan
11/3/2007,Arsenal,Man United,2-Feb
11/3/2007,Aston Villa,Derby,Feb-00
11/3/2007,Blackburn,Liverpool,0-0
11/3/2007,Everton,Birmingham,1-Mar
11/3/2007,Fulham,Reading,1-Mar
11/3/2007,Middlesbrough,Tottenham,1-Jan
11/3/2007,Newcastle,Portsmouth,4-Jan
11/3/2007,Wigan,Chelsea,0-2
11/4/2007,West Ham,Bolton,1-Jan
11/5/2007,Man City,Sunderland,Jan-00
11/10/2007,Derby,West Ham,0-5
11/10/2007,Liverpool,Fulham,Feb-00
11/10/2007,Sunderland,Newcastle,1-Jan
11/11/2007,Birmingham,Aston Villa,2-Jan
11/11/2007,Bolton,Middlesbrough,0-0
11/11/2007,Chelsea,Everton,1-Jan
11/11/2007,Man United,Blackburn,Feb-00
11/11/2007,Portsmouth,Man City,0-0
11/11/2007,Tottenham,Wigan,Apr-00
11/12/2007,Reading,Arsenal,3-Jan
11/24/2007,Arsenal,Wigan,Feb-00
11/24/2007,Birmingham,Portsmouth,0-2
11/24/2007,Bolton,Man United,Jan-00
11/24/2007,Derby,Chelsea,0-2
11/24/2007,Everton,Sunderland,1-Jul
11/24/2007,Man City,Reading,1-Feb
11/24/2007,Middlesbrough,Aston Villa,0-3
11/24/2007,Newcastle,Liverpool,0-3
11/25/2007,Fulham,Blackburn,2-Feb
11/25/2007,West Ham,Tottenham,1-Jan
11/28/2007,Blackburn,Aston Villa,0-4
12/1/2007,Aston Villa,Arsenal,2-Jan
12/1/2007,Blackburn,Newcastle,1-Mar
12/1/2007,Chelsea,West Ham,Jan-00
12/1/2007,Portsmouth,Everton,0-0
12/1/2007,Reading,Middlesbrough,1-Jan
12/1/2007,Sunderland,Derby,Jan-00
12/1/2007,Wigan,Man City,1-Jan
12/2/2007,Liverpool,Bolton,Apr-00
12/2/2007,Tottenham,Birmingham,3-Feb
12/3/2007,Man United,Fulham,Feb-00
12/5/2007,Newcastle,Arsenal,1-Jan
12/8/2007,Aston Villa,Portsmouth,3-Jan
12/8/2007,Chelsea,Sunderland,Feb-00
12/8/2007,Everton,Fulham,Mar-00
12/8/2007,Man United,Derby,1-Apr
12/8/2007,Newcastle,Birmingham,1-Feb
12/8/2007,Reading,Liverpool,1-Mar
12/9/2007,Blackburn,West Ham,0-1
12/9/2007,Bolton,Wigan,1-Apr
12/9/2007,Middlesbrough,Arsenal,1-Feb
12/9/2007,Tottenham,Man City,1-Feb
12/15/2007,Birmingham,Reading,1-Jan
12/15/2007,Derby,Middlesbrough,0-1
12/15/2007,Fulham,Newcastle,0-1
12/15/2007,Man City,Bolton,2-Apr
12/15/2007,Portsmouth,Tottenham,0-1
12/15/2007,Sunderland,Aston Villa,1-Jan
12/15/2007,West Ham,Everton,0-2
12/15/2007,Wigan,Blackburn,3-May
12/16/2007,Arsenal,Chelsea,Jan-00
12/16/2007,Liverpool,Man United,0-1
12/22/2007,Arsenal,Tottenham,1-Feb
12/22/2007,Aston Villa,Man City,1-Jan
12/22/2007,Bolton,Birmingham,Mar-00
12/22/2007,Fulham,Wigan,1-Jan
12/22/2007,Liverpool,Portsmouth,1-Apr
12/22/2007,Middlesbrough,West Ham,2-Jan
12/22/2007,Reading,Sunderland,1-Feb
12/23/2007,Blackburn,Chelsea,0-1
12/23/2007,Man United,Everton,1-Feb
12/23/2007,Newcastle,Derby,2-Feb
12/26/2007,Birmingham,Middlesbrough,Mar-00
12/26/2007,Chelsea,Aston Villa,4-Apr
12/26/2007,Derby,Liverpool,2-Jan
12/26/2007,Everton,Bolton,Feb-00
12/26/2007,Portsmouth,Arsenal,0-0
12/26/2007,Sunderland,Man United,0-4
12/26/2007,Tottenham,Fulham,1-May
12/26/2007,West Ham,Reading,1-Jan
12/26/2007,Wigan,Newcastle,Jan-00
12/27/2007,Man City,Blackburn,2-Feb
12/29/2007,Birmingham,Fulham,1-Jan
12/29/2007,Chelsea,Newcastle,1-Feb
12/29/2007,Everton,Arsenal,4-Jan
12/29/2007,Portsmouth,Middlesbrough,0-1
12/29/2007,Sunderland,Bolton,1-Mar
12/29/2007,Tottenham,Reading,4-Jun
12/29/2007,West Ham,Man United,1-Feb
12/29/2007,Wigan,Aston Villa,2-Jan
12/30/2007,Derby,Blackburn,2-Jan
12/30/2007,Man City,Liverpool,0-0
1/1/2008,Arsenal,West Ham,Feb-00
1/1/2008,Aston Villa,Tottenham,1-Feb
1/1/2008,Fulham,Chelsea,2-Jan
1/1/2008,Man United,Birmingham,Jan-00
1/1/2008,Middlesbrough,Everton,0-2
1/1/2008,Reading,Portsmouth,0-2
1/2/2008,Blackburn,Sunderland,Jan-00
1/2/2008,Bolton,Derby,Jan-00
1/2/2008,Liverpool,Wigan,1-Jan
1/2/2008,Newcastle,Man City,0-2
1/12/2008,Arsenal,Birmingham,1-Jan
1/12/2008,Aston Villa,Reading,1-Mar
1/12/2008,Chelsea,Tottenham,Feb-00
1/12/2008,Derby,Wigan,0-1
1/12/2008,Everton,Man City,Jan-00
1/12/2008,Man United,Newcastle,Jun-00
1/12/2008,Middlesbrough,Liverpool,1-Jan
1/12/2008,West Ham,Fulham,1-Feb
1/13/2008,Bolton,Blackburn,2-Jan
1/13/2008,Sunderland,Portsmouth,Feb-00
1/19/2008,Birmingham,Chelsea,0-1
1/19/2008,Blackburn,Middlesbrough,1-Jan
1/19/2008,Fulham,Arsenal,0-3
1/19/2008,Newcastle,Bolton,0-0
1/19/2008,Portsmouth,Derby,1-Mar
1/19/2008,Reading,Man United,0-2
1/19/2008,Tottenham,Sunderland,Feb-00
1/20/2008,Man City,West Ham,1-Jan
1/20/2008,Wigan,Everton,2-Jan
1/21/2008,Liverpool,Aston Villa,2-Feb
1/26/2008,Aston Villa,Blackburn,1-Jan
1/29/2008,Arsenal,Newcastle,Mar-00
1/29/2008,Bolton,Fulham,0-0
1/29/2008,Middlesbrough,Wigan,Jan-00
1/29/2008,Sunderland,Birmingham,Feb-00
1/30/2008,Chelsea,Reading,Jan-00
1/30/2008,Derby,Man City,1-Jan
1/30/2008,Everton,Tottenham,0-0
1/30/2008,Man United,Portsmouth,Feb-00
1/30/2008,West Ham,Liverpool,Jan-00
2/2/2008,Birmingham,Derby,1-Jan
2/2/2008,Blackburn,Everton,0-0
2/2/2008,Liverpool,Sunderland,Mar-00
2/2/2008,Man City,Arsenal,3-Jan
2/2/2008,Portsmouth,Chelsea,1-Jan
2/2/2008,Reading,Bolton,0-2
2/2/2008,Tottenham,Man United,1-Jan
2/2/2008,Wigan,West Ham,Jan-00
2/3/2008,Fulham,Aston Villa,1-Feb
2/3/2008,Newcastle,Middlesbrough,1-Jan
2/9/2008,Aston Villa,Newcastle,1-Apr
2/9/2008,Bolton,Portsmouth,0-1
2/9/2008,Derby,Tottenham,0-3
2/9/2008,Everton,Reading,Jan-00
2/9/2008,Middlesbrough,Fulham,Jan-00
2/9/2008,Sunderland,Wigan,Feb-00
2/9/2008,West Ham,Birmingham,1-Jan
2/10/2008,Chelsea,Liverpool,0-0
2/10/2008,Man United,Man City,2-Jan
2/11/2008,Arsenal,Blackburn,Feb-00
2/23/2008,Birmingham,Arsenal,2-Feb
2/23/2008,Fulham,West Ham,0-1
2/23/2008,Liverpool,Middlesbrough,2-Mar
2/23/2008,Newcastle,Man United,5-Jan
2/23/2008,Portsmouth,Sunderland,Jan-00
2/23/2008,Wigan,Derby,Feb-00
2/24/2008,Blackburn,Bolton,1-Apr
2/24/2008,Reading,Aston Villa,2-Jan
2/25/2008,Man City,Everton,0-2
3/1/2008,Arsenal,Aston Villa,1-Jan
3/1/2008,Birmingham,Tottenham,1-Apr
3/1/2008,Derby,Sunderland,0-0
3/1/2008,Fulham,Man United,0-3
3/1/2008,Man City,Wigan,0-0
3/1/2008,Middlesbrough,Reading,0-1
3/1/2008,Newcastle,Blackburn,0-1
3/1/2008,West Ham,Chelsea,0-4
3/2/2008,Bolton,Liverpool,3-Jan
3/2/2008,Everton,Portsmouth,1-Mar
3/5/2008,Liverpool,West Ham,Apr-00
3/8/2008,Blackburn,Fulham,1-Jan
3/8/2008,Liverpool,Newcastle,Mar-00
3/8/2008,Reading,Man City,Feb-00
3/9/2008,Sunderland,Everton,0-1
3/9/2008,Tottenham,West Ham,Apr-00
3/9/2008,Wigan,Arsenal,0-0
3/12/2008,Aston Villa,Middlesbrough,1-Jan
3/12/2008,Chelsea,Derby,1-Jun
3/12/2008,Portsmouth,Birmingham,2-Apr
3/15/2008,Arsenal,Middlesbrough,1-Jan
3/15/2008,Derby,Man United,0-1
3/15/2008,Liverpool,Reading,1-Feb
3/15/2008,Portsmouth,Aston Villa,Feb-00
3/15/2008,Sunderland,Chelsea,0-1
3/15/2008,West Ham,Blackburn,1-Feb
3/16/2008,Fulham,Everton,Jan-00
3/16/2008,Man City,Tottenham,1-Feb
3/16/2008,Wigan,Bolton,Jan-00
3/17/2008,Birmingham,Newcastle,1-Jan
3/19/2008,Man United,Bolton,Feb-00
3/19/2008,Tottenham,Chelsea,4-Apr
3/22/2008,Aston Villa,Sunderland,0-1
3/22/2008,Blackburn,Wigan,1-Mar
3/22/2008,Bolton,Man City,0-0
3/22/2008,Everton,West Ham,1-Jan
3/22/2008,Middlesbrough,Derby,Jan-00
3/22/2008,Newcastle,Fulham,Feb-00
3/22/2008,Reading,Birmingham,1-Feb
3/22/2008,Tottenham,Portsmouth,Feb-00
3/23/2008,Chelsea,Arsenal,1-Feb
3/23/2008,Man United,Liverpool,Mar-00
3/29/2008,Birmingham,Man City,1-Mar
3/29/2008,Bolton,Arsenal,3-Feb
3/29/2008,Derby,Fulham,2-Feb
3/29/2008,Man United,Aston Villa,Apr-00
3/29/2008,Portsmouth,Wigan,Feb-00
3/29/2008,Reading,Blackburn,0-0
3/29/2008,Sunderland,West Ham,1-Feb
3/30/2008,Chelsea,Middlesbrough,Jan-00
3/30/2008,Liverpool,Everton,Jan-00
3/30/2008,Tottenham,Newcastle,4-Jan
4/5/2008,Arsenal,Liverpool,1-Jan
4/5/2008,Aston Villa,Bolton,Apr-00
4/5/2008,Blackburn,Tottenham,1-Jan
4/5/2008,Fulham,Sunderland,3-Jan
4/5/2008,Man City,Chelsea,0-2
4/5/2008,Newcastle,Reading,Mar-00
4/5/2008,Wigan,Birmingham,Feb-00
4/6/2008,Everton,Derby,Jan-00
4/6/2008,Middlesbrough,Man United,2-Feb
4/8/2008,West Ham,Portsmouth,0-1
4/12/2008,Birmingham,Everton,1-Jan
4/12/2008,Bolton,West Ham,Jan-00
4/12/2008,Derby,Aston Villa,0-6
4/12/2008,Portsmouth,Newcastle,0-0
4/12/2008,Reading,Fulham,0-2
4/12/2008,Sunderland,Man City,2-Jan
4/12/2008,Tottenham,Middlesbrough,1-Jan
4/13/2008,Liverpool,Blackburn,1-Mar
4/13/2008,Man United,Arsenal,1-Feb
4/14/2008,Chelsea,Wigan,1-Jan
4/17/2008,Everton,Chelsea,0-1
4/19/2008,Arsenal,Reading,Feb-00
4/19/2008,Blackburn,Man United,1-Jan
4/19/2008,Fulham,Liverpool,0-2
4/19/2008,Middlesbrough,Bolton,0-1
4/19/2008,West Ham,Derby,1-Feb
4/19/2008,Wigan,Tottenham,1-Jan
4/20/2008,Aston Villa,Birmingham,1-May
4/20/2008,Man City,Portsmouth,1-Mar
4/20/2008,Newcastle,Sunderland,Feb-00
4/26/2008,Birmingham,Liverpool,2-Feb
4/26/2008,Chelsea,Man United,1-Feb
4/26/2008,Man City,Fulham,3-Feb
4/26/2008,Sunderland,Middlesbrough,2-Mar
4/26/2008,Tottenham,Bolton,1-Jan
4/26/2008,West Ham,Newcastle,2-Feb
4/26/2008,Wigan,Reading,0-0
4/27/2008,Everton,Aston Villa,2-Feb
4/27/2008,Portsmouth,Blackburn,0-1
4/28/2008,Derby,Arsenal,6-Feb
5/3/2008,Aston Villa,Wigan,0-2
5/3/2008,Blackburn,Derby,1-Mar
5/3/2008,Bolton,Sunderland,Feb-00
5/3/2008,Fulham,Birmingham,Feb-00
5/3/2008,Man United,West Ham,1-Apr
5/3/2008,Middlesbrough,Portsmouth,Feb-00
5/3/2008,Reading,Tottenham,0-1
5/4/2008,Arsenal,Everton,Jan-00
5/4/2008,Liverpool,Man City,Jan-00
5/5/2008,Newcastle,Chelsea,0-2
5/11/2008,Birmingham,Blackburn,1-Apr
5/11/2008,Chelsea,Bolton,1-Jan
5/11/2008,Derby,Reading,0-4
5/11/2008,Everton,Newcastle,1-Mar
5/11/2008,Middlesbrough,Man City,1-Aug
5/11/2008,Portsmouth,Fulham,0-1
5/11/2008,Sunderland,Arsenal,0-1
5/11/2008,Tottenham,Liverpool,0-2
5/11/2008,West Ham,Aston Villa,2-Feb
5/11/2008,Wigan,Man United,0-2
8/16/2008,Arsenal,West Brom,Jan-00
8/16/2008,Bolton,Stoke,1-Mar
8/16/2008,Everton,Blackburn,3-Feb
8/16/2008,Hull,Fulham,1-Feb
8/16/2008,Middlesbrough,Tottenham,1-Feb
8/16/2008,Sunderland,Liverpool,0-1
8/16/2008,West Ham,Wigan,1-Feb
8/17/2008,Aston Villa,Man City,2-Apr
8/17/2008,Chelsea,Portsmouth,Apr-00
8/17/2008,Man United,Newcastle,1-Jan
8/23/2008,Blackburn,Hull,1-Jan
8/23/2008,Fulham,Arsenal,Jan-00
8/23/2008,Liverpool,Middlesbrough,1-Feb
8/23/2008,Newcastle,Bolton,Jan-00
8/23/2008,Stoke,Aston Villa,2-Mar
8/23/2008,Tottenham,Sunderland,2-Jan
8/23/2008,West Brom,Everton,2-Jan
8/24/2008,Man City,West Ham,Mar-00
8/24/2008,Wigan,Chelsea,0-1
8/25/2008,Portsmouth,Man United,0-1
8/30/2008,Arsenal,Newcastle,Mar-00
8/30/2008,Bolton,West Brom,0-0
8/30/2008,Everton,Portsmouth,0-3
8/30/2008,Hull,Wigan,0-5
8/30/2008,Middlesbrough,Stoke,1-Feb
8/30/2008,West Ham,Blackburn,1-Apr
8/31/2008,Aston Villa,Liverpool,0-0
8/31/2008,Chelsea,Tottenham,1-Jan
8/31/2008,Sunderland,Man City,0-3
9/13/2008,Blackburn,Arsenal,0-4
9/13/2008,Fulham,Bolton,1-Feb
9/13/2008,Liverpool,Man United,1-Feb
9/13/2008,Man City,Chelsea,3-Jan
9/13/2008,Newcastle,Hull,2-Jan
9/13/2008,Portsmouth,Middlesbrough,1-Feb
9/13/2008,West Brom,West Ham,2-Mar
9/13/2008,Wigan,Sunderland,1-Jan
9/14/2008,Stoke,Everton,3-Feb
9/15/2008,Tottenham,Aston Villa,2-Jan
9/20/2008,Blackburn,Fulham,Jan-00
9/20/2008,Bolton,Arsenal,3-Jan
9/20/2008,Liverpool,Stoke,0-0
9/20/2008,Sunderland,Middlesbrough,Feb-00
9/20/2008,West Ham,Newcastle,1-Mar
9/21/2008,Chelsea,Man United,1-Jan
9/21/2008,Hull,Everton,2-Feb
9/21/2008,Man City,Portsmouth,Jun-00
9/21/2008,Tottenham,Wigan,0-0
9/21/2008,West Brom,Aston Villa,2-Jan
9/27/2008,Arsenal,Hull,2-Jan
9/27/2008,Aston Villa,Sunderland,1-Feb
9/27/2008,Everton,Liverpool,0-2
9/27/2008,Fulham,West Ham,2-Jan
9/27/2008,Man United,Bolton,Feb-00
9/27/2008,Middlesbrough,West Brom,0-1
9/27/2008,Newcastle,Blackburn,2-Jan
9/27/2008,Stoke,Chelsea,0-2
9/28/2008,Portsmouth,Tottenham,Feb-00
9/28/2008,Wigan,Man City,1-Feb
10/4/2008,Blackburn,Man United,0-2
10/4/2008,Sunderland,Arsenal,1-Jan
10/4/2008,West Brom,Fulham,Jan-00
10/4/2008,Wigan,Middlesbrough,0-1
10/5/2008,Chelsea,Aston Villa,Feb-00
10/5/2008,Everton,Newcastle,2-Feb
10/5/2008,Man City,Liverpool,3-Feb
10/5/2008,Portsmouth,Stoke,1-Feb
10/5/2008,Tottenham,Hull,0-1
10/5/2008,West Ham,Bolton,3-Jan
10/18/2008,Arsenal,Everton,1-Mar
10/18/2008,Aston Villa,Portsmouth,0-0
10/18/2008,Bolton,Blackburn,0-0
10/18/2008,Fulham,Sunderland,0-0
10/18/2008,Liverpool,Wigan,2-Mar
10/18/2008,Man United,West Brom,Apr-00
10/18/2008,Middlesbrough,Chelsea,0-5
10/19/2008,Hull,West Ham,Jan-00
10/19/2008,Stoke,Tottenham,1-Feb
10/20/2008,Newcastle,Man City,2-Feb
10/25/2008,Blackburn,Middlesbrough,1-Jan
10/25/2008,Everton,Man United,1-Jan
10/25/2008,Sunderland,Newcastle,1-Feb
10/25/2008,West Brom,Hull,0-3
10/26/2008,Chelsea,Liverpool,0-1
10/26/2008,Man City,Stoke,Mar-00
10/26/2008,Portsmouth,Fulham,1-Jan
10/26/2008,Tottenham,Bolton,Feb-00
10/26/2008,West Ham,Arsenal,0-2
10/26/2008,Wigan,Aston Villa,0-4
10/28/2008,Newcastle,West Brom,1-Feb
10/29/2008,Arsenal,Tottenham,4-Apr
10/29/2008,Aston Villa,Blackburn,2-Mar
10/29/2008,Bolton,Everton,0-1
10/29/2008,Fulham,Wigan,Feb-00
10/29/2008,Hull,Chelsea,0-3
10/29/2008,Liverpool,Portsmouth,Jan-00
10/29/2008,Man United,West Ham,Feb-00
10/29/2008,Middlesbrough,Man City,Feb-00
10/29/2008,Stoke,Sunderland,Jan-00
11/1/2008,Chelsea,Sunderland,May-00
11/1/2008,Everton,Fulham,Jan-00
11/1/2008,Man United,Hull,3-Apr
11/1/2008,Middlesbrough,West Ham,1-Jan
11/1/2008,Portsmouth,Wigan,2-Jan
11/1/2008,Stoke,Arsenal,1-Feb
11/1/2008,Tottenham,Liverpool,1-Feb
11/1/2008,West Brom,Blackburn,2-Feb
11/2/2008,Bolton,Man City,Feb-00
11/3/2008,Newcastle,Aston Villa,Feb-00
11/8/2008,Arsenal,Man United,1-Feb
11/8/2008,Hull,Bolton,0-1
11/8/2008,Liverpool,West Brom,Mar-00
11/8/2008,Sunderland,Portsmouth,2-Jan
11/8/2008,West Ham,Everton,3-Jan
11/8/2008,Wigan,Stoke,0-0
11/9/2008,Aston Villa,Middlesbrough,2-Jan
11/9/2008,Blackburn,Chelsea,0-2
11/9/2008,Fulham,Newcastle,1-Feb
11/9/2008,Man City,Tottenham,2-Jan
11/15/2008,Arsenal,Aston Villa,0-2
11/15/2008,Blackburn,Sunderland,2-Jan
11/15/2008,Bolton,Liverpool,0-2
11/15/2008,Fulham,Tottenham,1-Feb
11/15/2008,Man United,Stoke,May-00
11/15/2008,Newcastle,Wigan,2-Feb
11/15/2008,West Brom,Chelsea,0-3
11/15/2008,West Ham,Portsmouth,0-0
11/16/2008,Everton,Middlesbrough,1-Jan
11/16/2008,Hull,Man City,2-Feb
11/22/2008,Aston Villa,Man United,0-0
11/22/2008,Chelsea,Newcastle,0-0
11/22/2008,Liverpool,Fulham,0-0
11/22/2008,Man City,Arsenal,Mar-00
11/22/2008,Middlesbrough,Bolton,3-Jan
11/22/2008,Portsmouth,Hull,2-Feb
11/22/2008,Stoke,West Brom,Jan-00
11/23/2008,Sunderland,West Ham,0-1
11/23/2008,Tottenham,Blackburn,Jan-00
11/24/2008,Wigan,Everton,Jan-00
11/29/2008,Aston Villa,Fulham,0-0
11/29/2008,Middlesbrough,Newcastle,0-0
11/29/2008,Stoke,Hull,1-Jan
11/29/2008,Sunderland,Bolton,4-Jan
11/29/2008,Wigan,West Brom,1-Feb
11/30/2008,Chelsea,Arsenal,2-Jan
11/30/2008,Man City,Man United,0-1
11/30/2008,Portsmouth,Blackburn,2-Mar
11/30/2008,Tottenham,Everton,0-1
12/1/2008,Liverpool,West Ham,0-0
12/6/2008,Arsenal,Wigan,Jan-00
12/6/2008,Blackburn,Liverpool,3-Jan
12/6/2008,Bolton,Chelsea,0-2
12/6/2008,Fulham,Man City,1-Jan
12/6/2008,Hull,Middlesbrough,1-Feb
12/6/2008,Man United,Sunderland,Jan-00
12/6/2008,Newcastle,Stoke,2-Feb
12/7/2008,Everton,Aston Villa,3-Feb
12/7/2008,West Brom,Portsmouth,1-Jan
12/8/2008,West Ham,Tottenham,0-2
12/13/2008,Aston Villa,Bolton,2-Apr
12/13/2008,Liverpool,Hull,2-Feb
12/13/2008,Man City,Everton,0-1
12/13/2008,Middlesbrough,Arsenal,1-Jan
12/13/2008,Stoke,Fulham,0-0
12/13/2008,Sunderland,West Brom,Apr-00
12/13/2008,Tottenham,Man United,0-0
