"","Provider.Number","Hospital.Name","Address.1","Address.2","Address.3","City","State","ZIP.Code","County.Name","Phone.Number","Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack","Comparison.to.U.S..Rate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack","Lower.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack","Upper.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack","Number.of.Patients...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack","Footnote...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack","Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure","Comparison.to.U.S..Rate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure","Lower.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure","Upper.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure","Number.of.Patients...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure","Footnote...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure","Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia","Comparison.to.U.S..Rate...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia","Lower.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia","Upper.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia","Number.of.Patients...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia","Footnote...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia","Hospital.30.Day.Readmission.Rates.from.Heart.Attack","Comparison.to.U.S..Rate...Hospital.30.Day.Readmission.Rates.from.Heart.Attack","Lower.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Heart.Attack","Upper.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Heart.Attack","Number.of.Patients...Hospital.30.Day.Readmission.Rates.from.Heart.Attack","Footnote...Hospital.30.Day.Readmission.Rates.from.Heart.Attack","Hospital.30.Day.Readmission.Rates.from.Heart.Failure","Comparison.to.U.S..Rate...Hospital.30.Day.Readmission.Rates.from.Heart.Failure","Lower.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Heart.Failure","Upper.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Heart.Failure","Number.of.Patients...Hospital.30.Day.Readmission.Rates.from.Heart.Failure","Footnote...Hospital.30.Day.Readmission.Rates.from.Heart.Failure","Hospital.30.Day.Readmission.Rates.from.Pneumonia","Comparison.to.U.S..Rate...Hospital.30.Day.Readmission.Rates.from.Pneumonia","Lower.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Pneumonia","Upper.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Pneumonia","Number.of.Patients...Hospital.30.Day.Readmission.Rates.from.Pneumonia","Footnote...Hospital.30.Day.Readmission.Rates.from.Pneumonia"
"3822","440070","DECATUR COUNTY GENERAL HOSPITAL","969 TENNESSEE AVE S","","","PARSONS","TN","38363","DECATUR","7318473031","17.2","No Different than U.S. National Rate","13.4","21.1","27","","13.2","No Different than U.S. National Rate","9.6","17.7","84","","15.5","Worse than U.S. National Rate","12.1","19.5","202","",NA,"Number of Cases Too Small",NA,NA,"12","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","27.1","No Different than U.S. National Rate","22.3","32.2","83","","21.2","No Different than U.S. National Rate","17.5","25.1","212",""
"3823","440072","DYERSBURG REGIONAL MEDICAL CENTER","400 TICKLE ST","","","DYERSBURG","TN","38024","DYER","7312852410","19.0","No Different than U.S. National Rate","15.3","23.1","106","","11.4","No Different than U.S. National Rate","9.2","13.9","443","","14.3","No Different than U.S. National Rate","11.3","18.0","213","","21.4","No Different than U.S. National Rate","17.5","25.7","72","","26.5","No Different than U.S. National Rate","23.6","29.7","560","","22.6","Worse than U.S. National Rate","18.6","26.8","212",""
"3824","440073","MAURY REGIONAL HOSPITAL","1224 TROTWOOD AVE","","","COLUMBIA","TN","38401","MAURY","9313811111","14.4","No Different than U.S. National Rate","11.6","17.5","286","","13.5","No Different than U.S. National Rate","11.2","16.2","468","","12.9","No Different than U.S. National Rate","10.9","15.1","718","","19.1","No Different than U.S. National Rate","16.0","22.6","298","","25.7","No Different than U.S. National Rate","22.8","28.5","630","","19.8","No Different than U.S. National Rate","17.5","22.2","805",""
"3825","440081","LECONTE MEDICAL CENTER","742 MIDDLECREEK ROAD","","","SEVIERVILLE","TN","37862","CUMBERLAND","8654467500","14.2","No Different than U.S. National Rate","10.3","19.0","34","","11.6","No Different than U.S. National Rate","8.7","15.2","133","","12.3","No Different than U.S. National Rate","9.3","15.9","230","","18.8","No Different than U.S. National Rate","14.8","23.6","32","","21.9","No Different than U.S. National Rate","18.4","26.2","164","","18.7","No Different than U.S. National Rate","15.4","22.3","237",""
"3826","440082","ST THOMAS HOSPITAL","4220 HARDING RD, PO BOX 380","","","NASHVILLE","TN","37205","DAVIDSON","6152222111","14.0","No Different than U.S. National Rate","12.1","16.1","1114","","10.2","No Different than U.S. National Rate","8.6","12.1","1040","","11.6","No Different than U.S. National Rate","9.5","13.8","625","","21.6","No Different than U.S. National Rate","19.5","23.6","1426","","24.2","No Different than U.S. National Rate","22.3","26.3","1441","","20.1","No Different than U.S. National Rate","17.6","22.7","694",""
"3827","440083","JAMESTOWN REGIONAL MEDICAL CENTER","436 CENTRAL AVENUE WEST","","","JAMESTOWN","TN","38556","FENTRESS","9318793352","17.2","No Different than U.S. National Rate","13.4","21.6","37","","12.0","No Different than U.S. National Rate","9.0","15.8","139","","13.0","No Different than U.S. National Rate","9.6","17.3","169","",NA,"Number of Cases Too Small",NA,NA,"19","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","29.6","Worse than U.S. National Rate","25.0","34.2","199","","20.1","No Different than U.S. National Rate","16.5","24.3","173",""
"3828","440084","SWEETWATER HOSPITAL ASSOCIATION","304 WRIGHT ST","","","SWEETWATER","TN","37874","MONROE","8652138200","14.9","No Different than U.S. National Rate","11.4","18.9","31","","10.2","No Different than U.S. National Rate","7.5","13.6","127","","11.1","No Different than U.S. National Rate","8.6","14.2","311","",NA,"Number of Cases Too Small",NA,NA,"24","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","25.1","No Different than U.S. National Rate","21.0","29.7","154","","22.8","Worse than U.S. National Rate","19.1","26.3","337",""
"3829","440091","MEMORIAL HEALTHCARE SYSTEM, INC","2525 DESALES AVE","","","CHATTANOOGA","TN","37404","HAMILTON","4234952525","15.4","No Different than U.S. National Rate","13.2","17.7","820","","11.9","No Different than U.S. National Rate","10.3","13.8","1143","","11.0","No Different than U.S. National Rate","9.4","12.9","1079","","17.9","No Different than U.S. National Rate","15.8","20.4","912","","23.0","No Different than U.S. National Rate","21.0","25.3","1411","","15.2","Better than U.S. National Rate","13.4","17.7","1119",""
"3831","440104","ERLANGER MEDICAL CENTER","975 E 3RD ST","","","CHATTANOOGA","TN","37403","HAMILTON","4237787000","18.4","No Different than U.S. National Rate","15.1","22.2","273","","12.2","No Different than U.S. National Rate","9.6","15.3","301","","14.0","No Different than U.S. National Rate","11.2","17.4","249","","20.0","No Different than U.S. National Rate","16.4","23.9","262","","20.1","Better than U.S. National Rate","17.2","23.6","339","","18.8","No Different than U.S. National Rate","15.7","22.3","260",""
"3833","440110","FORT LOUDOUN MEDICAL CENTER","550 FORT LOUDOUN MEDICAL CENTER DR","","","LENOIR CITY","TN","37772","LOUDON","8652716000","14.7","No Different than U.S. National Rate","11.2","18.6","30","","10.8","No Different than U.S. National Rate","8.0","14.8","101","","10.9","No Different than U.S. National Rate","8.2","14.3","181","","19.0","No Different than U.S. National Rate","15.2","23.2","26","","22.8","No Different than U.S. National Rate","18.8","27.5","121","","17.2","No Different than U.S. National Rate","14.0","21.3","174",""
"3836","440120","TENNOVA HEALTHCARE","900 EAST OAK HILL AVENUE","","","KNOXVILLE","TN","37917","KNOX","8655458000","17.0","No Different than U.S. National Rate","14.3","20.3","478","","13.1","No Different than U.S. National Rate","11.1","15.6","612","","12.2","No Different than U.S. National Rate","10.1","14.7","529","","20.8","No Different than U.S. National Rate","17.9","24.1","472","","21.6","Better than U.S. National Rate","19.2","24.4","716","","16.8","No Different than U.S. National Rate","14.4","19.6","550",""
"3837","440125","FORT SANDERS REGIONAL MEDICAL CENTER","1901 W CLINCH AVE","","","KNOXVILLE","TN","37916","KNOX","8655411101","14.6","No Different than U.S. National Rate","11.7","17.9","268","","10.1","No Different than U.S. National Rate","8.2","12.5","348","","10.4","No Different than U.S. National Rate","8.4","12.8","446","","19.0","No Different than U.S. National Rate","15.9","22.6","280","","24.0","No Different than U.S. National Rate","20.8","27.5","435","","17.9","No Different than U.S. National Rate","15.3","20.7","473",""
"3838","440130","BAPTIST MEMORIAL HOSPITAL UNION CITY","1201 BISHOP ST, PO BOX 310","","","UNION CITY","TN","38261","OBION","7318852410","17.3","No Different than U.S. National Rate","13.4","21.9","51","","11.1","No Different than U.S. National Rate","8.3","14.9","138","","15.6","No Different than U.S. National Rate","11.9","20.0","159","","20.1","No Different than U.S. National Rate","15.9","25.0","36","","25.5","No Different than U.S. National Rate","21.8","29.9","176","","20.4","No Different than U.S. National Rate","16.7","24.5","169",""
